filename,RA,Dec
20.304 -55.484_[0.02089579 0.02089579] deg_(J0117.8-5455.Fix.1pln-forPyBDSF.FITS).fits.png,20.3040000000,-55.4840000000
20.305 -54.693_[0.009 0.009] deg_(J0117.8-5455.Fix.1pln-forPyBDSF.FITS).fits.png,20.3050000000,-54.6930000000
20.327 -54.667_[0.01131827 0.01131827] deg_(J0117.8-5455.Fix.1pln-forPyBDSF.FITS).fits.png,20.3270000000,-54.6670000000
20.344 -54.664_[0.009 0.009] deg_(J0117.8-5455.Fix.1pln-forPyBDSF.FITS).fits.png,20.3440000000,-54.6640000000
20.346 -54.919_[0.01309035 0.01309035] deg_(J0117.8-5455.Fix.1pln-forPyBDSF.FITS).fits.png,20.3460000000,-54.9190000000
20.346 -55.481_[0.03354798 0.03354798] deg_(J0117.8-5455.Fix.1pln-forPyBDSF.FITS).fits.png,20.3460000000,-55.4810000000
20.356 -26.973_[0.01004306 0.01004306] deg_(Abell_2895_1pln-forPyBDSF.FITS).fits.png,20.3560000000,-26.9730000000
20.365 -54.973_[0.01031795 0.01031795] deg_(J0117.8-5455.Fix.1pln-forPyBDSF.FITS).fits.png,20.3650000000,-54.9730000000
20.369 -54.738_[0.00933092 0.00933092] deg_(J0117.8-5455.Fix.1pln-forPyBDSF.FITS).fits.png,20.3690000000,-54.7380000000
20.375 -54.846_[0.00920729 0.00920729] deg_(J0117.8-5455.Fix.1pln-forPyBDSF.FITS).fits.png,20.3750000000,-54.8460000000
20.415 -54.644_[0.009 0.009] deg_(J0117.8-5455.Fix.1pln-forPyBDSF.FITS).fits.png,20.4150000000,-54.6440000000
20.428 -55.725_[0.0266405 0.0266405] deg_(J0117.8-5455.Fix.1pln-forPyBDSF.FITS).fits.png,20.4280000000,-55.7250000000
20.436 -54.853_[0.009 0.009] deg_(J0117.8-5455.Fix.1pln-forPyBDSF.FITS).fits.png,20.4360000000,-54.8530000000
20.461 -26.425_[0.01364323 0.01364323] deg_(Abell_2895_1pln-forPyBDSF.FITS).fits.png,20.4610000000,-26.4250000000
20.477 -26.969_[0.02175276 0.02175276] deg_(Abell_2895_1pln-forPyBDSF.FITS).fits.png,20.4770000000,-26.9690000000
20.484 -54.860_[0.0515905 0.0515905] deg_(J0117.8-5455.Fix.1pln-forPyBDSF.FITS).fits.png,20.4840000000,-54.8600000000
20.512 -54.830_[0.01237771 0.01237771] deg_(J0117.8-5455.Fix.1pln-forPyBDSF.FITS).fits.png,20.5120000000,-54.8300000000
20.524 -54.925_[0.04418158 0.04418158] deg_(J0117.8-5455.Fix.1pln-forPyBDSF.FITS).fits.png,20.5240000000,-54.9250000000
20.528 -54.311_[0.01284138 0.01284138] deg_(J0117.8-5455.Fix.1pln-forPyBDSF.FITS).fits.png,20.5280000000,-54.3110000000
20.553 -55.088_[0.06465382 0.06465382] deg_(J0117.8-5455.Fix.1pln-forPyBDSF.FITS).fits.png,20.5530000000,-55.0880000000
20.558 -55.263_[0.01403492 0.01403492] deg_(J0117.8-5455.Fix.1pln-forPyBDSF.FITS).fits.png,20.5580000000,-55.2630000000
20.561 -54.454_[0.01813086 0.01813086] deg_(J0117.8-5455.Fix.1pln-forPyBDSF.FITS).fits.png,20.5610000000,-54.4540000000
20.583 -54.755_[0.00922038 0.00922038] deg_(J0117.8-5455.Fix.1pln-forPyBDSF.FITS).fits.png,20.5830000000,-54.7550000000
20.620 -55.474_[0.01091125 0.01091125] deg_(J0117.8-5455.Fix.1pln-forPyBDSF.FITS).fits.png,20.6200000000,-55.4740000000
20.621 -54.453_[0.02856958 0.02856958] deg_(J0117.8-5455.Fix.1pln-forPyBDSF.FITS).fits.png,20.6210000000,-54.4530000000
20.638 -54.983_[0.01395339 0.01395339] deg_(J0117.8-5455.Fix.1pln-forPyBDSF.FITS).fits.png,20.6380000000,-54.9830000000
20.653 -0.980_[0.00908023 0.00908023] deg_(Abell_194.1pln-forPyBDSF.FITS).fits.png,20.6530000000,-0.9800000000
20.671 -54.900_[0.00999434 0.00999434] deg_(J0117.8-5455.Fix.1pln-forPyBDSF.FITS).fits.png,20.6710000000,-54.9000000000
20.703 -54.546_[0.01074735 0.01074735] deg_(J0117.8-5455.Fix.1pln-forPyBDSF.FITS).fits.png,20.7030000000,-54.5460000000
20.768 -54.885_[0.02235283 0.02235283] deg_(J0117.8-5455.Fix.1pln-forPyBDSF.FITS).fits.png,20.7680000000,-54.8850000000
20.777 -55.050_[0.0097285 0.0097285] deg_(J0117.8-5455.Fix.1pln-forPyBDSF.FITS).fits.png,20.7770000000,-55.0500000000
20.879 -1.088_[0.01195438 0.01195438] deg_(Abell_194.1pln-forPyBDSF.FITS).fits.png,20.8790000000,-1.0880000000
20.894 -1.468_[0.01177407 0.01177407] deg_(Abell_194.1pln-forPyBDSF.FITS).fits.png,20.8940000000,-1.4680000000
20.971 -0.738_[0.01856903 0.01856903] deg_(Abell_194.1pln-forPyBDSF.FITS).fits.png,20.9710000000,-0.7380000000
20.979 -1.200_[0.01102975 0.01102975] deg_(Abell_194.1pln-forPyBDSF.FITS).fits.png,20.9790000000,-1.2000000000
200.850 -31.604_[0.0115146 0.0115146] deg_(Abell_3558.APSC.1pln-forPyBDSF.FITS).fits.png,200.8500000000,-31.6040000000
201.006 -31.633_[0.06023438 0.06023438] deg_(Abell_3558.APSC.1pln-forPyBDSF.FITS).fits.png,201.0060000000,-31.6330000000
201.028 -31.670_[0.009 0.009] deg_(Abell_3558.APSC.1pln-forPyBDSF.FITS).fits.png,201.0280000000,-31.6700000000
201.069 -31.317_[0.01031267 0.01031267] deg_(Abell_3558.APSC.1pln-forPyBDSF.FITS).fits.png,201.0690000000,-31.3170000000
201.095 -31.706_[0.01162296 0.01162296] deg_(Abell_3558.APSC.1pln-forPyBDSF.FITS).fits.png,201.0950000000,-31.7060000000
201.103 -31.651_[0.009 0.009] deg_(Abell_3558.APSC.1pln-forPyBDSF.FITS).fits.png,201.1030000000,-31.6510000000
201.178 -31.600_[0.0114555 0.0114555] deg_(Abell_3558.APSC.1pln-forPyBDSF.FITS).fits.png,201.1780000000,-31.6000000000
201.188 -31.651_[0.01169413 0.01169413] deg_(Abell_3558.APSC.1pln-forPyBDSF.FITS).fits.png,201.1880000000,-31.6510000000
201.247 -30.800_[0.02499813 0.02499813] deg_(Abell_3558.APSC.1pln-forPyBDSF.FITS).fits.png,201.2470000000,-30.8000000000
201.327 -31.872_[0.03707361 0.03707361] deg_(Abell_3558.APSC.1pln-forPyBDSF.FITS).fits.png,201.3270000000,-31.8720000000
201.346 -31.285_[0.00931162 0.00931162] deg_(Abell_3558.APSC.1pln-forPyBDSF.FITS).fits.png,201.3460000000,-31.2850000000
201.353 -32.040_[0.03064908 0.03064908] deg_(Abell_3558.APSC.1pln-forPyBDSF.FITS).fits.png,201.3530000000,-32.0400000000
201.362 -31.697_[0.01100666 0.01100666] deg_(Abell_3558.APSC.1pln-forPyBDSF.FITS).fits.png,201.3620000000,-31.6970000000
201.364 -31.605_[0.00945603 0.00945603] deg_(Abell_3558.APSC.1pln-forPyBDSF.FITS).fits.png,201.3640000000,-31.6050000000
201.381 -31.515_[0.0119388 0.0119388] deg_(Abell_3558.APSC.1pln-forPyBDSF.FITS).fits.png,201.3810000000,-31.5150000000
201.401 -31.315_[0.01033815 0.01033815] deg_(Abell_3558.APSC.1pln-forPyBDSF.FITS).fits.png,201.4010000000,-31.3150000000
201.402 -31.240_[0.00945448 0.00945448] deg_(Abell_3558.APSC.1pln-forPyBDSF.FITS).fits.png,201.4020000000,-31.2400000000
201.440 -30.543_[0.01012108 0.01012108] deg_(Abell_3558.APSC.1pln-forPyBDSF.FITS).fits.png,201.4400000000,-30.5430000000
201.464 -32.346_[0.009 0.009] deg_(Abell_3558.APSC.1pln-forPyBDSF.FITS).fits.png,201.4640000000,-32.3460000000
201.479 -30.892_[0.00930755 0.00930755] deg_(Abell_3558.APSC.1pln-forPyBDSF.FITS).fits.png,201.4790000000,-30.8920000000
201.485 -31.693_[0.009 0.009] deg_(Abell_3558.APSC.1pln-forPyBDSF.FITS).fits.png,201.4850000000,-31.6930000000
201.519 -31.090_[0.03347009 0.03347009] deg_(Abell_3558.APSC.1pln-forPyBDSF.FITS).fits.png,201.5190000000,-31.0900000000
201.521 -30.820_[0.009 0.009] deg_(Abell_3558.APSC.1pln-forPyBDSF.FITS).fits.png,201.5210000000,-30.8200000000
201.553 -31.738_[0.01078691 0.01078691] deg_(Abell_3558.APSC.1pln-forPyBDSF.FITS).fits.png,201.5530000000,-31.7380000000
201.555 -31.691_[0.01248068 0.01248068] deg_(Abell_3558.APSC.1pln-forPyBDSF.FITS).fits.png,201.5550000000,-31.6910000000
201.578 -30.960_[0.009 0.009] deg_(Abell_3558.APSC.1pln-forPyBDSF.FITS).fits.png,201.5780000000,-30.9600000000
201.598 -32.321_[0.009 0.009] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,201.5980000000,-32.3210000000
201.605 -30.710_[0.01024116 0.01024116] deg_(Abell_3558.APSC.1pln-forPyBDSF.FITS).fits.png,201.6050000000,-30.7100000000
201.609 -31.843_[0.01099492 0.01099492] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,201.6090000000,-31.8430000000
201.619 -30.746_[0.01289461 0.01289461] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,201.6190000000,-30.7460000000
201.637 -31.719_[0.009 0.009] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,201.6370000000,-31.7190000000
201.659 -30.827_[0.01789405 0.01789405] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,201.6590000000,-30.8270000000
201.659 -31.233_[0.0198386 0.0198386] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,201.6590000000,-31.2330000000
201.660 -32.115_[0.01187208 0.01187208] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,201.6600000000,-32.1150000000
201.679 -31.129_[0.00946834 0.00946834] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,201.6790000000,-31.1290000000
201.707 -31.347_[0.009 0.009] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,201.7070000000,-31.3470000000
201.724 -31.366_[0.0099498 0.0099498] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,201.7240000000,-31.3660000000
201.731 -32.424_[0.01190069 0.01190069] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,201.7310000000,-32.4240000000
201.754 -31.363_[0.01396268 0.01396268] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,201.7540000000,-31.3630000000
201.765 -31.225_[0.01574304 0.01574304] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,201.7650000000,-31.2250000000
201.787 -31.408_[0.01331135 0.01331135] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,201.7870000000,-31.4080000000
201.791 -31.631_[0.01284706 0.01284706] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,201.7910000000,-31.6310000000
201.826 -31.222_[0.01916327 0.01916327] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,201.8260000000,-31.2220000000
201.843 -31.479_[0.01067441 0.01067441] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,201.8430000000,-31.4790000000
201.846 -31.808_[0.01336445 0.01336445] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,201.8460000000,-31.8080000000
201.858 -31.916_[0.00928075 0.00928075] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,201.8580000000,-31.9160000000
201.863 -31.378_[0.01287739 0.01287739] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,201.8630000000,-31.3780000000
201.867 -31.299_[0.009 0.009] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,201.8670000000,-31.2990000000
201.869 -31.209_[0.01014763 0.01014763] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,201.8690000000,-31.2090000000
201.872 -31.807_[0.03721562 0.03721562] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,201.8720000000,-31.8070000000
201.898 -31.276_[0.01230829 0.01230829] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,201.8980000000,-31.2760000000
201.913 -31.433_[0.01311439 0.01311439] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,201.9130000000,-31.4330000000
201.914 -30.732_[0.01345395 0.01345395] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,201.9140000000,-30.7320000000
201.929 -32.019_[0.009 0.009] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,201.9290000000,-32.0190000000
201.932 -31.491_[0.00987037 0.00987037] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,201.9320000000,-31.4910000000
201.943 -31.405_[0.009 0.009] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,201.9430000000,-31.4050000000
201.945 -31.292_[0.01780017 0.01780017] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,201.9450000000,-31.2920000000
201.954 -31.486_[0.04684616 0.04684616] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,201.9540000000,-31.4860000000
201.955 -31.136_[0.00995281 0.00995281] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,201.9550000000,-31.1360000000
201.958 -31.055_[0.0178128 0.0178128] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,201.9580000000,-31.0550000000
201.962 -30.712_[0.0135047 0.0135047] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,201.9620000000,-30.7120000000
201.965 -31.245_[0.01723357 0.01723357] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,201.9650000000,-31.2450000000
201.967 -32.144_[0.03141 0.03141] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,201.9670000000,-32.1440000000
201.987 -31.496_[0.01046352 0.01046352] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,201.9870000000,-31.4960000000
202.007 -31.136_[0.01246783 0.01246783] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,202.0070000000,-31.1360000000
202.008 -31.781_[0.00993842 0.00993842] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,202.0080000000,-31.7810000000
202.011 -31.537_[0.00986187 0.00986187] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,202.0110000000,-31.5370000000
202.022 -32.160_[0.03094029 0.03094029] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,202.0220000000,-32.1600000000
202.033 -32.146_[0.00920598 0.00920598] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,202.0330000000,-32.1460000000
202.043 -31.349_[0.01034338 0.01034338] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,202.0430000000,-31.3490000000
202.049 -32.111_[0.009 0.009] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,202.0490000000,-32.1110000000
202.053 -30.999_[0.03718945 0.03718945] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,202.0530000000,-30.9990000000
202.058 -31.719_[0.00904332 0.00904332] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,202.0580000000,-31.7190000000
202.066 -30.623_[0.02378013 0.02378013] deg_(Abell_3558.APSC.1pln-forPyBDSF.FITS).fits.png,202.0660000000,-30.6230000000
202.069 -31.805_[0.009 0.009] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,202.0690000000,-31.8050000000
202.094 -30.632_[0.03683105 0.03683105] deg_(Abell_3558.APSC.1pln-forPyBDSF.FITS).fits.png,202.0940000000,-30.6320000000
202.096 -31.334_[0.01114756 0.01114756] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,202.0960000000,-31.3340000000
202.104 -31.249_[0.01024805 0.01024805] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,202.1040000000,-31.2490000000
202.104 -31.858_[0.02434932 0.02434932] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,202.1040000000,-31.8580000000
202.110 -31.556_[0.01722398 0.01722398] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,202.1100000000,-31.5560000000
202.114 -30.530_[0.01244146 0.01244146] deg_(Abell_3558.APSC.1pln-forPyBDSF.FITS).fits.png,202.1140000000,-30.5300000000
202.114 -32.668_[0.01179406 0.01179406] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,202.1140000000,-32.6680000000
202.125 -31.595_[0.01190082 0.01190082] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,202.1250000000,-31.5950000000
202.128 -31.649_[0.009 0.009] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,202.1280000000,-31.6490000000
202.136 -32.041_[0.01020367 0.01020367] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,202.1360000000,-32.0410000000
202.149 -31.515_[0.00985561 0.00985561] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,202.1490000000,-31.5150000000
202.162 -30.616_[0.0145366 0.0145366] deg_(Abell_3558.APSC.1pln-forPyBDSF.FITS).fits.png,202.1620000000,-30.6160000000
202.163 -31.039_[0.01913878 0.01913878] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,202.1630000000,-31.0390000000
202.163 -31.662_[0.00925247 0.00925247] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,202.1630000000,-31.6620000000
202.164 -32.221_[0.01029754 0.01029754] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,202.1640000000,-32.2210000000
202.169 -31.323_[0.009 0.009] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,202.1690000000,-31.3230000000
202.182 -31.636_[0.0096945 0.0096945] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,202.1820000000,-31.6360000000
202.196 -31.691_[0.00932081 0.00932081] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,202.1960000000,-31.6910000000
202.215 -31.137_[0.01026079 0.01026079] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,202.2150000000,-31.1370000000
202.218 -32.163_[0.01085266 0.01085266] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,202.2180000000,-32.1630000000
202.229 -31.764_[0.01232578 0.01232578] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,202.2290000000,-31.7640000000
202.247 -31.738_[0.00939541 0.00939541] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,202.2470000000,-31.7380000000
202.251 -31.443_[0.03912482 0.03912482] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,202.2510000000,-31.4430000000
202.268 -31.798_[0.00902665 0.00902665] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,202.2680000000,-31.7980000000
202.269 -32.052_[0.01462159 0.01462159] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,202.2690000000,-32.0520000000
202.292 -31.565_[0.01255039 0.01255039] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,202.2920000000,-31.5650000000
202.300 -31.249_[0.0102025 0.0102025] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,202.3000000000,-31.2490000000
202.312 -31.279_[0.00989966 0.00989966] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,202.3120000000,-31.2790000000
202.321 -30.829_[0.00961007 0.00961007] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,202.3210000000,-30.8290000000
202.340 -31.288_[0.009 0.009] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,202.3400000000,-31.2880000000
202.369 -31.657_[0.0115149 0.0115149] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,202.3690000000,-31.6570000000
202.381 -31.625_[0.009 0.009] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,202.3810000000,-31.6250000000
202.383 -31.282_[0.03682928 0.03682928] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,202.3830000000,-31.2820000000
202.394 -31.757_[0.02074002 0.02074002] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,202.3940000000,-31.7570000000
202.424 -31.904_[0.01621236 0.01621236] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,202.4240000000,-31.9040000000
202.456 -31.328_[0.009 0.009] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,202.4560000000,-31.3280000000
202.462 -31.383_[0.02855763 0.02855763] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,202.4620000000,-31.3830000000
202.463 -31.741_[0.00938738 0.00938738] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,202.4630000000,-31.7410000000
202.470 -32.132_[0.009 0.009] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,202.4700000000,-32.1320000000
202.479 -31.332_[0.01651031 0.01651031] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,202.4790000000,-31.3320000000
202.486 -31.296_[0.01300743 0.01300743] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,202.4860000000,-31.2960000000
202.488 -31.186_[0.009 0.009] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,202.4880000000,-31.1860000000
202.521 -31.751_[0.01739535 0.01739535] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,202.5210000000,-31.7510000000
202.537 -31.737_[0.01255889 0.01255889] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,202.5370000000,-31.7370000000
202.539 -31.271_[0.01173038 0.01173038] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,202.5390000000,-31.2710000000
202.542 -31.786_[0.00911875 0.00911875] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,202.5420000000,-31.7860000000
202.550 -32.068_[0.009 0.009] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,202.5500000000,-32.0680000000
202.552 -31.775_[0.01314259 0.01314259] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,202.5520000000,-31.7750000000
202.569 -31.770_[0.01138586 0.01138586] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,202.5690000000,-31.7700000000
202.572 -30.554_[0.02248899 0.02248899] deg_(Abell_3558.APSC.1pln-forPyBDSF.FITS).fits.png,202.5720000000,-30.5540000000
202.603 -31.747_[0.009 0.009] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,202.6030000000,-31.7470000000
202.624 -31.412_[0.01814574 0.01814574] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,202.6240000000,-31.4120000000
202.629 -31.501_[0.01079182 0.01079182] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,202.6290000000,-31.5010000000
202.637 -31.575_[0.01648199 0.01648199] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,202.6370000000,-31.5750000000
202.639 -30.824_[0.01816341 0.01816341] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,202.6390000000,-30.8240000000
202.669 -31.709_[0.009 0.009] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,202.6690000000,-31.7090000000
202.671 -31.321_[0.009 0.009] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,202.6710000000,-31.3210000000
202.673 -31.572_[0.01613849 0.01613849] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,202.6730000000,-31.5720000000
202.677 -31.069_[0.01019717 0.01019717] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,202.6770000000,-31.0690000000
202.681 -30.792_[0.02051006 0.02051006] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,202.6810000000,-30.7920000000
202.720 -31.454_[0.009 0.009] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,202.7200000000,-31.4540000000
202.721 -30.840_[0.03907566 0.03907566] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,202.7210000000,-30.8400000000
202.723 -31.506_[0.01639347 0.01639347] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,202.7230000000,-31.5060000000
202.738 -32.060_[0.01339472 0.01339472] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,202.7380000000,-32.0600000000
202.745 -31.751_[0.01394973 0.01394973] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,202.7450000000,-31.7510000000
202.774 -31.450_[0.01002568 0.01002568] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,202.7740000000,-31.4500000000
202.808 -31.931_[0.01777184 0.01777184] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,202.8080000000,-31.9310000000
202.812 -31.481_[0.00941514 0.00941514] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,202.8120000000,-31.4810000000
202.818 -30.772_[0.009 0.009] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,202.8180000000,-30.7720000000
202.820 -31.474_[0.0147861 0.0147861] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,202.8200000000,-31.4740000000
202.820 -31.594_[0.009 0.009] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,202.8200000000,-31.5940000000
202.822 -31.352_[0.01172612 0.01172612] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,202.8220000000,-31.3520000000
202.827 -31.912_[0.01012563 0.01012563] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,202.8270000000,-31.9120000000
202.827 -32.012_[0.01355369 0.01355369] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,202.8270000000,-32.0120000000
202.832 -31.229_[0.01887813 0.01887813] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,202.8320000000,-31.2290000000
202.833 -31.729_[0.03527704 0.03527704] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,202.8330000000,-31.7290000000
202.833 -31.825_[0.00918089 0.00918089] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,202.8330000000,-31.8250000000
202.836 -31.067_[0.00922416 0.00922416] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,202.8360000000,-31.0670000000
202.841 -31.927_[0.009 0.009] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,202.8410000000,-31.9270000000
202.882 -31.979_[0.0276534 0.0276534] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,202.8820000000,-31.9790000000
202.883 -31.486_[0.01668429 0.01668429] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,202.8830000000,-31.4860000000
202.891 -32.068_[0.01006068 0.01006068] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,202.8910000000,-32.0680000000
202.907 -31.553_[0.009 0.009] deg_(Abell_3562.APSC.1pln-forPyBDSF.FITS).fits.png,202.9070000000,-31.5530000000
